Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
119.000000	4062.051282	4501.538462	4211.794872	4460.000000	4123.589744	4543.076923	4202.564103	4841.025641	4244.102564	4472.307692	4229.230769	4353.333333	4461.538462	4469.230769	1607.000000	2107.000000	34.134000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
120.000000	4063.076923	4501.025641	4208.717949	4460.000000	4122.564103	4540.000000	4201.025641	4839.487179	4242.051282	4473.333333	4231.794872	4350.256410	4458.974359	4466.666667	1611.000000	2103.000000	34.142000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
121.000000	4063.076923	4496.923077	4206.153846	4460.000000	4127.179487	4544.102564	4201.025641	4837.435897	4240.512821	4470.769231	4231.282051	4350.769231	4464.102564	4465.128205	1607.000000	2107.000000	34.150000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
122.000000	4064.102564	4498.974359	4211.282051	4460.512821	4123.589744	4543.076923	4197.948718	4841.025641	4243.076923	4468.717949	4229.230769	4352.307692	4469.743590	4470.256410	1615.000000	2103.000000	34.158000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
123.000000	4062.564103	4505.128205	4210.256410	4463.076923	4122.564103	4544.102564	4204.102564	4840.000000	4244.615385	4468.717949	4228.205128	4350.769231	4463.076923	4470.256410	1607.000000	2103.000000	34.166000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
124.000000	4065.641026	4501.538462	4203.589744	4461.538462	4124.615385	4541.538462	4204.615385	4836.923077	4244.102564	4472.820513	4231.794872	4351.794872	4461.538462	4468.205128	1611.000000	2107.000000	34.174000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
125.000000	4065.128205	4497.948718	4206.666667	4460.512821	4127.692308	4542.564103	4204.615385	4838.461538	4241.538462	4473.333333	4232.307692	4349.230769	4463.076923	4468.717949	1607.000000	2103.000000	34.182000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
126.000000	4065.128205	4502.564103	4210.256410	4461.025641	4122.564103	4540.512821	4203.076923	4843.076923	4243.076923	4469.230769	4230.256410	4350.256410	4464.102564	4471.282051	1611.000000	2107.000000	34.190000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
127.000000	4063.076923	4501.025641	4205.641026	4462.051282	4121.538462	4543.589744	4205.641026	4837.948718	4242.564103	4468.717949	4227.179487	4351.794872	4460.512821	4466.666667	1611.000000	2107.000000	34.197000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
128.000000	4064.615385	4496.923077	4204.615385	4461.025641	4123.076923	4540.512821	4202.564103	4835.897436	4241.538462	4473.846154	4229.230769	4351.794872	4460.512821	4468.205128	1611.000000	2107.000000	34.205000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
0.000000	4065.128205	4500.000000	4208.717949	4462.564103	4122.051282	4540.512821	4203.589744	4841.025641	4241.538462	4472.820513	4232.820513	4350.256410	4461.025641	4471.794872	1611.000000	2103.000000	34.213000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
1.000000	4068.205128	4500.512821	4208.717949	4462.564103	4120.000000	4543.076923	4204.615385	4842.051282	4245.128205	4471.282051	4233.333333	4351.794872	4464.615385	4469.230769	1607.000000	2107.000000	34.221000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
2.000000	4067.179487	4498.974359	4205.641026	4460.512821	4124.615385	4545.128205	4204.615385	4839.487179	4245.641026	4473.333333	4230.769231	4353.846154	4464.102564	4464.615385	1611.000000	2103.000000	34.229000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
3.000000	4063.076923	4501.538462	4205.128205	4458.974359	4126.153846	4543.589744	4203.076923	4842.051282	4243.076923	4472.307692	4230.256410	4352.307692	4461.538462	4467.179487	1607.000000	2103.000000	34.237000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
4.000000	4062.051282	4500.512821	4206.666667	4459.487179	4124.102564	4543.589744	4203.076923	4843.076923	4242.051282	4469.743590	4230.256410	4350.256410	4463.076923	4469.230769	1611.000000	2107.000000	34.245000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
5.000000	4063.589744	4499.487179	4207.692308	4461.025641	4125.128205	4542.051282	4203.589744	4838.974359	4241.538462	4471.282051	4230.769231	4349.230769	4464.615385	4466.153846	1611.000000	2103.000000	34.253000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
6.000000	4064.615385	4502.051282	4208.205128	4460.512821	4125.128205	4542.051282	4203.076923	4840.512821	4240.512821	4473.333333	4232.307692	4350.256410	4463.589744	4467.179487	1611.000000	2103.000000	34.260000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
7.000000	4064.615385	4501.538462	4207.692308	4460.000000	4125.641026	4543.589744	4203.589744	4843.076923	4241.025641	4471.794872	4231.794872	4351.282051	4462.564103	4469.743590	1607.000000	2107.000000	34.268000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
